gender,year,death_0.1m
female,1999,3.9
male,1999,8.2
female,2000,4.1
male,2000,8.3
female,2001,4.6
male,2001,9.0
female,2002,5.8
male,2002,10.6
female,2003,6.4
male,2003,11.5
female,2004,6.9
male,2004,11.8
female,2005,7.3
male,2005,12.8
female,2006,8.2
male,2006,14.8
female,2007,8.8
male,2007,14.9
female,2008,8.9
male,2008,14.9
female,2009,9.1
male,2009,14.8
female,2010,9.6
male,2010,15.0
female,2011,10.2
male,2011,16.1
female,2012,10.2
male,2012,16.1
female,2013,10.6
male,2013,17.0
female,2014,11.2
male,2014,18.3
female,2015,11.8
male,2015,20.8
female,2016,13.4
male,2016,26.2
female,2017,14.4
male,2017,29.1
female,2018,13.6
male,2018,27.9
