"State","suicideRate","suicideNumber"
"Montana","28.9000","311"
"Alaska","27","200"
"Wyoming","26.9000","157"
"New Mexico","23.3000","491"
"Idaho","23.2000","392"
"Utah","22.7000","663"
"South Dakota","22.5000","191"
"West Virginia","21.1000","393"
"Arkansas","20.8000","631"
"Nevada","20.3000","627"
"Colorado","20.3000","1181"
"North Dakota","20.1000","154"
"Oklahoma","19.1000","756"
"Kansas","19.1000","553"
"Oregon","19","825"
"New Hampshire","18.9000","265"
"Maine","18.9000","274"
"Missouri","18.5000","1151"
"Vermont","18.3000","112"
"Arizona","18.2000","1327"
"Washington","16.9000","1297"
"Kentucky","16.9000","770"
"Tennessee","16.8000","1166"
"Alabama","16.6000","836"
"South Carolina","16.3000","838"
"Indiana","16.3000","1092"
"Wisconsin","15.4000","926"
"Louisiana","15.2000","720"
"Hawaii","15.2000","227"
"Pennsylvania","15","2030"
"Mississippi","15","445"
"Iowa","15","479"
"Ohio","14.8000","1740"
"Nebraska","14.7000","275"
"North Carolina","14.3000","1521"
"Michigan","14.1000","1457"
"Florida","14","3227"
"Minnesota","13.8000","783"
"Georgia","13.6000","1451"
"Virginia","13.4000","1179"
"Texas","13.4000","3778"
"Rhode Island","11.8000","129"
"Delaware","11.6000","112"
"Illinois","11.2000","1474"
"Connecticut","10.5000","405"
"California","10.5000","4312"
"Maryland","9.8000","630"
"Massachusetts","9.5000","682"
"New Jersey","8.3000","795"
"New York","8.1000","1696"
